"Table 9.7a   Annual pay - Gross (£) - For all employee jobsa: United Kingdom, 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
,,of jobsb,,percentage,,percentage,Percentiles,,,,,,,,,,,,,,,,,
Description,Code,(thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90,,,,,,,,
Bradford West,E14000589,61,"21,341",3.5,"25,081",-1.4,x,"11,903","13,667","15,911","18,696","24,507","27,611","29,434",x,x,,,,,,,,
Brigg and Goole,E14000596,26,"25,161",1.8,"25,466",1.9,"8,285","11,459","13,169","14,999","18,781","28,584","34,005","37,094","40,027",x,,,,,,,,
Calder Valley,E14000614,27,"24,186",,"26,231",4.2,"9,691","13,986","15,676","16,941","20,675","26,919","30,070","32,616","35,664",x,,,,,,,,
Cleethorpes,E14000643,28,"25,387",25.4,"28,490",11.6,"7,841","11,279","13,933","16,811","20,359","30,655","35,026","36,922","44,292",x,,,,,,,,
Colne Valley,E14000645,13,"19,825",10.2,"23,623",9.2,x,"9,862","12,543","14,855","17,845","22,636",x,x,x,x,,,,,,,,
Dewsbury,E14000666,26,"20,798",10.1,"24,250",-0.9,x,"12,558","13,571","14,977","17,075","23,437","25,450","26,885",x,x,,,,,,,,
Don Valley,E14000667,20,"19,815",0.1,"22,982",6.3,x,"10,559","12,262","13,773","17,187","24,236","27,805","31,309",x,x,,,,,,,,
Doncaster Central,E14000668,60,"21,349",-0.8,"25,918",3.0,"7,847","12,682","14,614","16,317","18,861","24,150","28,710","31,592","35,078",x,,,,,,,,
Doncaster North,E14000669,17,"23,213",4.7,"23,599",8.2,x,"11,534","13,680","16,231","19,476","26,439","29,319","30,778",x,x,,,,,,,,
East Yorkshire,E14000683,25,"20,513",,"23,926",1.3,"7,437","10,568","12,184","13,433","17,827","23,262","29,122","31,876",x,x,,,,,,,,
Elmet and Rothwell,E14000689,19,"22,939",15.8,"25,741",8.5,x,"10,665","12,810","15,203","19,538","27,295","29,920",x,x,x,,,,,,,,
Great Grimsby,E14000716,29,"19,680",6.8,"22,683",5.1,"7,160","10,285","12,995","14,773","17,423","23,121","27,519","30,762","33,781",x,,,,,,,,
Halifax,E14000723,36,"22,089",-2.7,"26,112",-1.6,x,x,"14,399","16,200","19,020","25,817","30,896",x,x,x,,,,,,,,
Haltemprice and Howden,E14000724,30,"22,523",1.1,"24,128",-1.1,"7,583","12,614","15,661","16,742","19,855","24,494","29,799","31,408","35,859",x,,,,,,,,
Harrogate and Knaresborough,E14000730,41,"23,218",0.2,"28,662",-1.8,"7,868","11,021","13,002","15,084","18,977","27,013","32,333","35,123","37,922",x,,,,,,,,
Hemsworth,E14000740,20,"19,439",5.3,"21,225",3.8,x,"9,371","10,475","11,600","15,552","22,847","25,035","27,116","29,888",x,,,,,,,,
Huddersfield,E14000756,49,"20,502",3.9,"25,889",9.4,x,x,x,"13,478","17,160","25,793","31,552","33,440",x,x,,,,,,,,
Keighley,E14000766,17,"22,479",8.4,"24,566",6.1,x,"11,319","14,300","16,122","19,768","25,515","28,830",x,x,x,,,,,,,,
Kingston upon Hull East,E14000771,35,"24,749",20.2,"26,987",17.0,"10,718","14,414","16,216","17,659","21,220","27,883","33,082","34,720","37,144",x,,,,,,,,
Kingston upon Hull North,E14000772,21,"20,076",6.7,"24,734",9.0,"7,498","10,199","10,719","13,863","17,869",x,x,x,x,x,,,,,,,,
Kingston upon Hull West and Hessle,E14000773,50,"23,156",7.3,"29,479",,"8,223","12,470","14,340","16,094","18,687","25,962","30,359","31,436","34,600",x,,,,,,,,
Leeds Central,E14000777,187,"26,471",5.7,"30,914",4.4,"8,866","15,780","17,957","19,671","22,820","31,510","36,197","38,986","42,993","54,378",,,,,,,,
Leeds East,E14000778,28,"27,169",6.8,"34,301",5.5,"9,451","15,150","17,452",x,"22,969",x,x,x,x,x,,,,,,,,
Leeds North East,E14000779,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Leeds North West,E14000780,22,x,,"27,359",4.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Leeds West,E14000781,33,"23,185",10.3,"26,156",5.8,x,x,x,"17,178","20,236","26,132","32,238",x,x,x,,,,,,,,
Morley and Outwood,E14000826,39,"24,851",10.0,"29,938",12.9,"9,756","14,249","16,886","18,143","21,111","29,400","32,933","36,586","41,001",x,,,,,,,,
"Normanton, Pontefract and Castleford",E14000836,38,"24,748",12.8,"30,283",14.5,"11,069","15,044","16,621","18,412","20,896","28,126","32,642","36,118","39,715",x,,,,,,,,
Penistone and Stocksbridge,E14000876,16,"25,154",16.4,x,,x,x,"14,825","17,169","21,070","28,310","31,851","33,297",x,x,,,,,,,,
Pudsey,E14000886,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Richmond (Yorks),E14000895,26,"21,974",5.9,"24,378",4.9,x,x,x,x,"19,526","25,425","29,654","32,066",x,x,,,,,,,,
Rother Valley,E14000903,19,"23,620",0.8,"28,272",5.9,"10,672","13,504","15,306","17,011","20,128","26,786","31,580","34,645",x,x,,,,,,,,
Rotherham,E14000904,37,"22,542",10.1,"27,753",-0.8,x,"11,724","13,274","15,540","19,167","24,486","28,515","31,255",x,x,,,,,,,,
Scarborough and Whitby,E14000913,29,"20,325",4.3,"22,782",7.8,"6,197","10,160","12,111","13,577","16,845","23,233","27,990","28,995","32,762",x,,,,,,,,
Scunthorpe,E14000914,31,"21,141",-0.5,"25,469",3.8,"8,150","11,908","14,284","16,251","18,292","25,915","29,988","32,722","34,657",x,,,,,,,,
Selby and Ainsty,E14000917,31,"25,367",1.7,"28,082",-0.7,"6,979","12,469","15,536","17,573","20,837","28,803","33,965","36,346","40,171",x,,,,,,,,
Sheffield Central,E14000919,97,"24,871",2.2,"28,226",1.4,"8,485","13,974","16,457","18,305","21,354","29,571","32,859","35,216","39,013",x,,,,,,,,
Sheffield South East,E14000920,45,"21,525",-3.4,"26,155",6.2,"7,416","10,571","12,861","15,392","18,347","26,281","31,304","35,514","37,470",x,,,,,,,,
"Sheffield, Brightside and Hillsborough",E14000921,27,"22,952",8.3,"26,795",6.4,x,"13,319","16,101","17,268","18,898","26,248","33,861","36,733",x,x,,,,,,,,
"Sheffield, Hallam",E14000922,13,"21,846",10.4,"24,351",10.4,x,"12,798","14,395","15,372","19,469","25,596",x,x,x,x,,,,,,,,
"Sheffield, Heeley",E14000923,x,x,,"21,674",2.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Shipley,E14000925,24,x,,"24,519",-1.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Skipton and Ripon,E14000928,31,"24,866",15.0,"27,865",14.5,"7,781","12,963","15,069","16,779","20,247","27,678","32,569","34,530",x,x,,,,,,,,
Thirsk and Malton,E14000993,29,x,,"25,315",3.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Wakefield,E14001009,40,"23,233",-3.4,"26,103",-3.7,"8,473","11,952","15,114","17,562","20,206","26,965","31,096","32,694","36,027",x,,,,,,,,
Wentworth and Dearne,E14001028,31,"19,873",3.5,"21,992",1.9,"8,019","10,491","12,453","14,810","17,101","21,805","25,078","26,884","28,858",x,,,,,,,,
York Central,E14001061,49,"23,770",16.5,"28,592",18.5,"8,635","12,673","14,983","16,661","19,774","26,982","32,535","35,389","38,240",x,,,,,,,,
York Outer,E14001062,37,"24,475",16.7,"27,529",14.9,x,"12,990","14,283","17,127","19,603","29,937","35,059","37,675","40,611",x,,,,,,,,
East Midlands,E12000004,"1,547","23,070",6.0,"26,864",4.9,"7,917","12,352","14,704","16,586","19,665","26,833","31,531","34,293","37,835","47,804",,,,,,,,
Amber Valley,E14000533,32,"23,864",10.6,"26,677",7.3,"7,310","11,288","13,720","16,636","19,522","27,418","30,395","33,490","37,010",x,,,,,,,,
Ashfield,E14000535,42,"22,265",-2.5,"26,458",0.3,"9,842","14,634","16,027","17,295","19,660","25,901","30,031","31,983","34,431",x,,,,,,,,
Bassetlaw,E14000546,36,"21,486",6.1,"23,447",0.0,"8,018","12,926","14,720","17,015","19,044","23,938","26,635","29,870","31,283",x,,,,,,,,
Bolsover,E14000577,28,"20,913",2.3,"25,558",3.2,"8,090","12,906","14,702","15,227","17,940","23,968","28,605","30,720",x,x,,,,,,,,
